,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
191,S2021,Admit,322.0,73.435,34.0,104.0,
192,F2020,Admit,319.0,76.095,10.0,105.0,
193,F2021,Admit,308.0,84.26499999999999,29.0,,8.0
194,F2019,Admit,317.0,84.4,33.0,104.0,
195,F2019,Admit,314.0,70.3,49.0,103.0,
196,F2020,Admit,312.0,81.98500000000001,24.0,109.0,
197,F2020,Admit,313.0,75.8,60.0,102.0,
198,S2021,Admit,312.0,83.79,28.0,95.0,
199,F2019,Admit,313.0,85.31,,111.0,
200,F2020,Admit,316.0,79.04,17.0,108.0,
0,F2021,Reject,312.0,75.3,27.0,98.0,
1,F2021,Reject,309.0,78.185,3.0,105.0,
2,F2021,Reject,309.0,68.59,,118.0,
3,F2021,Reject,308.0,73.0,48.0,0.0,
4,[],,,,,0.0,
5,F2021,Reject,301.0,64.0,27.0,,7.5
6,F2021,Reject,305.0,67.26,22.0,88.0,
7,F2021,Reject,,74.195,72.0,,7.0
8,F2021,Reject,,,,,
9,F2021,Reject,315.0,72.295,24.0,,8.0
10,F2019,Reject,306.0,73.15,13.0,,7.5
11,F2021,Reject,,79.8,,,7.5
12,F2020,Reject,319.0,82.745,,107.0,
13,F2021,Reject,323.0,75.81,31.0,,8.0
14,F2021,Reject,311.0,80.94,19.0,102.0,
15,F2021,Reject,305.0,89.20500000000001,6.0,95.0,
16,F2020,Reject,323.0,72.295,19.0,109.0,
17,F2021,Reject,312.0,83.69500000000001,2.0,113.0,
18,F2021,Reject,310.0,81.415,15.0,103.0,
19,F2021,Reject,319.0,73.625,,115.0,
20,F2021,Reject,311.0,76.0,24.0,,7.0
21,F2021,Reject,324.0,73.15,37.0,106.0,
22,F2021,Reject,320.0,78.85000000000001,3.0,,8.0
23,F2021,Reject,,85.88,36.0,,7.0
24,F2020,Reject,316.0,89.11000000000001,5.0,99.0,
25,F2021,Reject,312.0,73.245,2.0,,7.0
26,F2021,Reject,312.0,77.71,24.0,102.0,
27,F2021,Reject,303.0,77.89999999999999,5.0,,7.0
28,F2021,Reject,325.0,75.43,22.0,,7.0
29,F2021,Reject,,84.45500000000001,8.0,110.0,
30,F2021,Reject,321.0,80.75,6.0,,7.0
31,S2022,Reject,310.0,78.85000000000001,22.0,104.0,
32,F2021,Reject,313.0,67.0,34.0,105.0,
