,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
116,F2021,Reject,315.0,66.975,8.0,,7.5
117,F2021,Reject,318.0,71.06,22.0,110.0,
118,F2021,Reject,307.0,70.0,38.0,102.0,
119,F2021,Reject,308.0,77.0,37.0,91.0,
120,F2021,Reject,305.0,67.0,34.0,,7.5
121,F2021,Reject,290.0,69.825,,87.0,
122,F2021,Reject,,64.6,20.0,,7.0
123,F2021,Reject,309.0,78.47,44.0,107.0,
124,F2021,Reject,311.0,64.6,27.0,106.0,
125,F2021,Reject,312.0,76.76,,,8.0
126,F2021,Reject,312.0,73.53,13.0,,7.0
127,F2021,Reject,309.0,77.23500000000001,2.0,,6.5
128,F2021,Reject,316.0,76.95,3.0,,8.0
129,F2021,Reject,313.0,75.525,18.0,,6.5
130,F2021,Reject,305.0,79.70500000000001,3.0,,7.5
131,F2021,Reject,314.0,78.09,8.0,,7.5
132,F2021,Reject,319.0,75.05,12.0,111.0,
133,F2021,Reject,317.0,76.38,20.0,,7.5
134,F2021,Reject,314.0,68.875,,105.0,
135,F2021,Reject,319.0,66.405,,102.0,
136,F2021,Reject,260.0,67.735,,,7.0
137,F2021,Reject,296.0,79.51499999999999,20.0,95.0,
138,F2021,Reject,327.0,74.1,22.0,104.0,
139,F2021,Reject,307.0,74.5,4.0,98.0,
140,F2021,Reject,319.0,70.775,29.0,102.0,
141,F2021,Reject,307.0,77.89999999999999,7.0,,6.5
142,F2021,Reject,314.0,69.0,120.0,,6.5
143,F2021,Reject,315.0,63.365,30.0,91.0,
144,F2020,Reject,312.0,61.275,40.0,99.0,
145,F2021,Reject,322.0,78.755,19.0,,7.0
146,F2021,Reject,309.0,69.1,58.0,107.0,
147,F2021,Reject,320.0,76.0,36.0,,7.5
148,F2021,Reject,312.0,74.0,,90.0,
149,F2021,Reject,318.0,77.13999999999999,28.0,100.0,
150,F2021,Reject,297.0,75.05,2.0,91.0,
151,F2021,Reject,307.0,,,,
152,F2021,Reject,306.0,78.375,4.0,95.0,
153,F2021,Reject,321.0,71.535,4.0,,8.5
154,F2021,Reject,312.0,69.065,8.0,103.0,
155,F2021,Reject,316.0,57.76,30.0,,8.0
156,F2021,Reject,314.0,67.7,20.0,,8.0
157,F2021,Reject,312.0,74.48,50.0,,6.5
158,F2021,Reject,323.0,68.685,8.0,,7.0
159,F2021,Reject,304.0,74.955,1.0,99.0,
160,F2021,Reject,307.0,76.29,31.0,101.0,
161,F2021,Reject,304.0,73.15,1.0,99.0,
162,F2021,Reject,308.0,67.165,15.0,89.0,
163,F2021,Reject,311.0,69.0,23.0,,6.0
164,F2021,Reject,314.0,60.1,45.0,104.0,
165,F2021,Reject,303.0,69.0,32.0,92.0,
166,F2021,Reject,306.0,73.72,16.0,,7.5
167,F2021,Reject,315.0,74.575,21.0,,7.5
168,F2021,Reject,320.0,76.62,36.0,102.0,
169,F2021,Reject,296.0,76.47500000000001,60.0,93.0,
170,F2021,Reject,306.0,72.9,17.0,,6.5
171,F2021,Reject,319.0,76.95,56.0,100.0,
172,S2021,Reject,303.0,67.07,14.0,98.0,
173,F2021,Reject,303.0,71.25,2.0,92.0,
174,F2021,Reject,320.0,73.34,32.0,108.0,
175,F2021,Reject,319.0,74.575,6.0,107.0,
176,F2021,Reject,322.0,65.36,30.0,111.0,
177,F2021,Reject,,,,,
178,F2021,Reject,326.0,69.4,,,6.5
179,F2021,Reject,325.0,71.345,20.0,108.0,
180,F2021,Reject,310.0,72.675,7.0,,7.0
181,F2021,Reject,320.0,66.5,18.0,,7.0
182,F2021,Reject,311.0,70.87,35.0,,8.0
183,F2021,Reject,308.0,77.89999999999999,19.0,,7.5
184,F2021,Reject,308.0,72.485,24.0,91.0,
185,F2020,Reject,322.0,63.839999999999996,,114.0,
186,F2021,Reject,313.0,,,,
187,F2021,Reject,320.0,72.01,20.0,114.0,
188,F2021,Reject,302.0,72.2,30.0,86.0,
189,F2021,Reject,316.0,72.675,26.0,110.0,
190,F2021,Reject,305.0,69.35,18.0,108.0,
191,F2021,Reject,318.0,73.625,20.0,,7.5
192,F2021,Reject,325.0,69.73,12.0,96.0,
193,F2021,Reject,315.0,75.715,30.0,,8.5
194,S2022,Reject,314.0,75.145,8.0,100.0,
195,F2021,Reject,313.0,63.365,33.0,,7.5
196,F2021,Reject,308.0,73.5,28.0,,7.5
197,F2021,Reject,319.0,74.005,,106.0,
198,F2021,Reject,308.0,70.585,3.0,103.0,
199,F2021,Reject,316.0,76.285,21.0,108.0,
200,F2021,Reject,307.0,61.0,30.0,,7.0
