,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
183,F2019,Admit,308.0,66.785,8.0,0.0,
184,F2021,Admit,306.0,81.13,30.0,,7.0
185,F2021,Admit,316.0,75.0,29.0,103.0,
186,F2021,Admit,318.0,86.54499999999999,6.0,,8.0
187,F2020,Admit,301.0,,,,
188,F2021,Admit,305.0,69.35,18.0,108.0,
189,F2021,Admit,307.0,69.35,30.0,94.0,
190,F2021,Admit,318.0,70.0,15.0,,7.0
191,F2020,Admit,299.0,70.965,19.0,84.0,
192,F2021,Admit,309.0,71.0,38.0,96.0,
193,F2021,Admit,296.0,71.44,30.0,,7.0
194,F2021,Admit,307.0,72.295,10.0,0.0,
195,F2020,Admit,318.0,76.0,,,7.0
196,F2021,Admit,303.0,81.7,,,7.5
197,S2021,Admit,301.0,78.85000000000001,26.0,,7.5
198,S2021,Admit,321.0,69.54,3.0,112.0,
199,F2020,Admit,299.0,72.0,20.0,,6.5
200,S2021,Admit,299.0,64.6,1.0,,6.5
0,F2021,Reject,320.0,82.55499999999999,,,7.0
1,F2021,Reject,309.0,73.25,31.0,111.0,
2,F2021,Reject,323.0,66.5,,102.0,
3,F2021,Reject,308.0,77.0,37.0,91.0,
4,[],,,,,91.0,
5,F2021,Reject,323.0,80.845,12.0,,6.5
6,F2021,Reject,308.0,73.0,48.0,0.0,
7,F2021,Reject,302.0,60.99,,,6.5
8,F2021,Reject,311.0,82.64999999999999,17.0,,6.5
9,F2021,Reject,327.0,62.13,,97.0,
10,F2021,Reject,316.0,83.315,,103.0,
11,F2021,Reject,,,,,
12,F2021,Reject,307.0,71.82,21.0,112.0,
13,F2021,Reject,311.0,80.75,19.0,,6.5
14,F2021,Reject,,70.965,10.0,,7.5
15,F2021,Reject,304.0,75.68,,,6.5
16,F2021,Reject,313.0,80.02,35.0,,6.5
17,F2021,Reject,313.0,78.0,57.0,,7.0
18,F2021,Reject,312.0,77.425,6.0,,6.5
19,F2021,Reject,310.0,71.25,,,6.5
20,F2021,Reject,325.0,62.0,36.0,97.0,
21,F2021,Reject,310.0,72.295,19.0,,7.0
22,F2021,Reject,313.0,64.79,,,7.0
23,F2021,Reject,,72.2,10.0,,6.5
24,F2021,Reject,302.0,85.33,48.0,,7.0
25,F2021,Reject,312.0,61.18000000000001,17.0,,7.0
26,F2021,Reject,323.0,66.5,,,7.0
27,F2021,Reject,306.0,61.75,10.0,107.0,
28,F2021,Reject,299.0,82.08000000000001,1.0,94.0,
29,F2021,Reject,305.0,67.64,21.0,93.0,
30,F2021,Reject,,,,,
31,F2021,Reject,302.0,75.43,34.0,89.0,
32,F2021,Reject,313.0,77.89999999999999,,,7.5
33,F2021,Reject,318.0,,,,
34,F2021,Reject,,71.725,2.0,,6.5
35,F2021,Reject,,73.0,29.0,98.0,
36,F2021,Reject,310.0,65.55,8.0,,7.0
37,F2021,Reject,313.0,62.13,1.0,111.0,
38,F2021,Reject,309.0,91.23,,109.0,
39,F2021,Reject,314.0,76.19,60.0,90.0,
40,F2021,Reject,310.0,83.41,14.0,,8.0
41,F2021,Reject,296.0,84.55,48.0,,6.5
42,F2021,Reject,,,,,
43,F2021,Reject,323.0,73.91,,102.0,
44,F2021,Reject,309.0,77.13999999999999,31.0,,7.5
45,F2021,Reject,320.0,86.355,33.0,114.0,
46,F2021,Reject,321.0,80.75,6.0,,7.0
47,F2021,Reject,313.0,75.905,12.0,108.0,
48,F2021,Reject,,78.185,,,7.0
49,F2021,Reject,302.0,81.32000000000001,35.0,,7.0
50,F2021,Reject,309.0,65.93,16.0,,7.5
51,F2021,Reject,298.0,82.08000000000001,21.0,,7.0
52,F2021,Reject,308.0,71.06,28.0,102.0,
53,F2021,Reject,,78.66,20.0,,6.5
54,F2021,Reject,320.0,55.0,,,7.0
55,F2021,Reject,313.0,80.17999999999999,7.0,,6.5
56,F2021,Reject,315.0,71.63,21.0,83.0,
57,F2021,Reject,312.0,70.3,13.0,,7.5
58,F2021,Reject,316.0,68.685,46.0,,7.0
59,F2021,Reject,303.0,64.315,16.0,,6.5
60,F2021,Reject,303.0,73.91,,85.0,
61,F2021,Reject,302.0,65.56,45.0,,6.5
62,F2021,Reject,301.0,72.58,1.0,,7.5
63,F2021,Reject,313.0,67.165,40.0,101.0,
64,S2022,Reject,315.0,73.055,30.0,,7.0
65,F2021,Reject,310.0,74.48,1.0,,7.0
66,F2021,Reject,301.0,82.64999999999999,7.0,,7.5
67,F2021,Reject,292.0,82.64999999999999,,,7.5
68,F2021,Reject,318.0,71.06,50.0,,7.5
69,F2021,Reject,310.0,65.55,31.0,,7.0
70,F2021,Reject,323.0,69.35,9.0,,8.0
71,F2021,Reject,317.0,61.4,31.0,99.0,
72,F2021,Reject,,73.79599999999999,8.0,,7.5
73,F2021,Reject,322.0,68.59,1.0,,6.5
74,F2021,Reject,,64.315,36.0,,7.5
75,F2021,Reject,322.0,75.5,51.0,97.0,
76,F2021,Reject,315.0,76.285,,,7.0
77,F2021,Reject,306.0,72.01,,101.0,
78,F2021,Reject,316.0,74.1,14.0,,7.5
79,F2021,Reject,291.0,76.0,12.0,,6.5
80,F2021,Reject,318.0,66.4,19.0,,7.5
81,F2021,Reject,321.0,78.185,40.0,108.0,
82,F2021,Reject,305.0,77.23500000000001,15.0,93.0,
83,F2021,Reject,318.0,74.385,21.0,,6.5
84,F2021,Reject,302.0,68.4,2.0,92.0,
85,F2020,Reject,312.0,68.4,10.0,,6.5
86,F2021,Reject,321.0,67.26,6.0,,7.5
87,F2021,Reject,,67.45,,,7.0
88,F2021,Reject,315.0,71.14,1.0,,7.0
89,F2021,Reject,305.0,68.875,53.0,,7.0
90,F2021,Reject,335.0,70.44,5.0,116.0,
91,F2021,Reject,329.0,79.135,21.0,,7.0
92,F2021,Reject,316.0,77.04499999999999,,,7.5
93,F2021,Reject,308.0,82.83,33.0,,7.0
94,F2021,Reject,292.0,76.0,,88.0,
95,F2021,Reject,308.0,72.0,48.0,105.0,
96,F2021,Reject,302.0,68.8,60.0,,7.5
97,F2021,Reject,328.0,87.39999999999999,25.0,,7.5
98,F2021,Reject,320.0,74.1,,,7.0
99,F2021,Reject,303.0,69.255,,,7.5
100,F2021,Reject,314.0,,,,
101,F2021,Reject,310.0,66.5,,,7.0
102,F2021,Reject,,71.0,38.0,98.0,
103,F2021,Reject,299.0,58.01,35.0,83.0,
104,F2021,Reject,304.0,74.955,1.0,99.0,
105,F2021,Reject,298.0,70.775,27.0,81.0,
106,F2021,Reject,318.0,77.13999999999999,28.0,100.0,
107,F2021,Reject,322.0,62.2,30.0,109.0,
108,F2021,Reject,298.0,63.0,,,6.5
109,F2021,Reject,,69.825,,,6.5
110,F2021,Reject,307.0,71.345,,,6.5
111,F2021,Reject,314.0,80.75,7.0,83.0,
112,F2021,Reject,298.0,60.135,28.0,,7.5
113,F2021,Reject,307.0,62.0,30.0,90.0,
114,F2021,Reject,316.0,57.76,30.0,,8.0
115,F2021,Reject,303.0,68.0,25.0,,7.0
116,F2021,Reject,323.0,,,,
117,F2021,Reject,,64.6,20.0,,7.0
118,F2021,Reject,317.0,80.09,21.0,,6.5
119,F2021,Reject,306.0,75.0,29.0,,7.5
120,F2021,Reject,310.0,76.95,,,7.5
121,F2021,Reject,302.0,89.11000000000001,20.0,91.0,
122,F2021,Reject,,64.315,33.0,,6.5
123,F2021,Reject,325.0,71.345,20.0,108.0,
124,F2021,Reject,303.0,69.0,32.0,92.0,
125,F2021,Reject,,54.0,20.0,,
126,F2021,Reject,321.0,75.62,,108.0,
127,F2021,Reject,302.0,70.585,27.0,92.0,
