,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
172,F2020,Admit,316.0,79.04,17.0,108.0,
173,F2020,Admit,318.0,,,,
174,F2020,Admit,320.0,83.69500000000001,46.0,112.0,
175,F2019,Admit,,,,,
176,F2020,Admit,306.0,76.0,30.0,,8.0
177,F2021,Admit,310.0,86.45,8.0,105.0,
178,F2020,Admit,318.0,74.385,42.0,108.0,
179,F2020,Admit,318.0,81.9,21.0,110.0,
180,F2020,Admit,321.0,68.4,4.0,107.0,
181,F2021,Admit,292.0,87.0,6.0,82.0,
182,F2020,Admit,307.0,82.64999999999999,,,7.0
183,F2021,Admit,320.0,71.8,24.0,116.0,
184,F2020,Admit,318.0,69.445,6.0,106.0,
185,F2020,Admit,315.0,80.77,2.0,107.0,
186,F2020,Admit,327.0,64.03,38.0,106.0,
187,S2020,Admit,309.0,74.48,,,7.0
188,F2020,Admit,329.0,73.91,47.0,110.0,
189,F2020,Admit,324.0,80.02799999999999,42.0,106.0,
190,F2020,Admit,321.0,73.055,42.0,106.0,
191,F2020,Admit,318.0,82.365,20.0,97.0,
192,F2020,Admit,310.0,76.0,3.0,96.0,
193,F2021,Admit,313.0,79.135,,109.0,
194,F2020,Admit,304.0,,,,
195,F2021,Admit,321.0,81.7,18.0,104.0,
196,F2020,Admit,323.0,72.58,,111.0,
197,F2020,Admit,322.0,58.9,21.0,104.0,
198,F2020,Admit,313.0,70.0,26.0,111.0,
199,F2022,Admit,315.0,80.75,4.0,115.0,
200,F2020,Admit,324.0,67.45,7.0,112.0,
0,F2021,Reject,318.0,76.0,,94.0,
1,F2021,Reject,312.0,74.86,2.0,81.0,
2,F2021,Reject,295.0,72.865,,92.0,
3,F2021,Reject,302.0,85.33,48.0,,7.0
4,[],,,,,,7.0
5,F2021,Reject,321.0,87.685,5.0,108.0,
6,F2021,Reject,306.0,73.72,16.0,,7.5
7,F2021,Reject,309.0,86.45,21.0,,6.5
8,F2021,Reject,321.0,80.75,6.0,,7.0
9,F2021,Reject,302.0,69.35,,95.0,
10,F2021,Reject,315.0,76.57000000000001,32.0,102.0,
11,F2021,Reject,303.0,76.0,3.0,97.0,
12,F2021,Reject,303.0,76.285,,,7.5
13,F2021,Reject,306.0,80.94,44.0,102.0,
14,F2021,Reject,306.0,80.465,,107.0,
15,F2021,Reject,304.0,65.0,20.0,96.0,
16,F2021,Reject,310.0,72.295,19.0,,7.0
17,F2021,Reject,302.0,80.75,,98.0,
18,F2021,Reject,309.0,75.62,5.0,,7.5
19,F2021,Reject,316.0,85.02499999999999,32.0,109.0,
20,F2021,Reject,,63.65,36.0,,6.5
21,F2021,Reject,301.0,72.485,26.0,108.0,
22,F2021,Reject,,71.0,38.0,98.0,
23,F2021,Reject,313.0,67.165,40.0,101.0,
24,F2021,Reject,308.0,70.49,,102.0,
25,F2021,Reject,311.0,88.825,12.0,108.0,
26,F2021,Reject,307.0,82.64999999999999,6.0,98.0,
27,F2021,Reject,312.0,66.975,1.0,98.0,
28,F2021,Reject,310.0,76.95,,,7.5
29,F2022,Reject,317.0,82.46,18.0,101.0,
30,F2021,Reject,307.0,64.98,,90.0,
31,F2021,Reject,309.0,70.0,40.0,105.0,
32,F2021,Reject,316.0,77.13999999999999,13.0,102.0,
33,F2021,Reject,308.0,72.0,48.0,105.0,
34,F2021,Reject,309.0,69.1,58.0,107.0,
35,F2021,Reject,308.0,70.585,3.0,103.0,
36,F2021,Reject,326.0,80.465,6.0,118.0,
37,F2021,Reject,333.0,73.245,5.0,117.0,
38,F2021,Reject,313.0,75.905,12.0,108.0,
39,F2021,Reject,314.0,59.47,18.0,92.0,
40,F2021,Reject,315.0,87.875,19.0,108.0,
41,F2021,Reject,312.0,76.665,17.0,,7.0
42,F2020,Reject,312.0,62.31999999999999,9.0,,7.5
43,F2021,Reject,312.0,72.105,19.0,,8.0
44,F2021,Reject,314.0,76.42,34.0,,8.0
45,F2021,Reject,315.0,75.525,9.0,98.0,
46,F2021,Reject,297.0,66.92,40.0,,8.0
47,F2021,Reject,290.0,70.0,3.0,,7.5
48,F2021,Reject,298.0,70.775,,,7.0
49,F2021,Reject,288.0,78.565,,,6.0
50,F2021,Reject,296.0,77.89999999999999,17.0,103.0,
51,F2021,Reject,296.0,72.2,4.0,,7.5
52,F2021,Reject,296.0,79.51499999999999,20.0,95.0,
53,F2021,Reject,288.0,71.63,6.0,97.0,
54,F2021,Reject,297.0,75.05,2.0,91.0,
55,F2020,Reject,310.0,86.45,24.0,89.0,
56,S2021,Reject,309.0,78.85000000000001,2.0,90.0,
57,S2021,Reject,314.0,76.57000000000001,43.0,,7.5
58,F2021,Reject,298.0,56.48,74.0,,6.5
59,F2020,Reject,309.0,64.0,48.0,91.0,
60,F2020,Reject,308.0,81.7,2.0,94.0,
61,F2018,Reject,310.0,59.84,,100.0,
62,F2020,Reject,316.0,61.0,42.0,97.0,
63,F2020,Reject,,,,,
64,F2020,Reject,315.0,74.1,,,8.0
65,S2021,Reject,312.0,62.5,2.0,92.0,
66,F2020,Reject,324.0,56.050000000000004,42.0,106.0,
67,F2020,Reject,306.0,90.06,4.0,94.0,
68,F2020,Reject,302.0,78.09,28.0,,7.0
69,S2021,Reject,304.0,63.365,19.0,96.0,
70,F2020,Reject,306.0,73.15,32.0,8.0,
71,F2020,Reject,306.0,83.315,12.0,97.0,
72,F2021,Reject,311.0,62.0,15.0,100.0,
73,F2020,Reject,311.0,84.45500000000001,12.0,,7.5
74,F2021,Reject,313.0,68.06,40.0,103.0,
75,F2020,Reject,303.0,72.865,,90.0,
76,F2020,Reject,311.0,79.99,2.0,,7.5
77,F2020,Reject,306.0,65.93,3.0,90.0,
78,F2020,Reject,297.0,86.45,24.0,86.0,
79,F2021,Reject,313.0,73.15,6.0,,7.0
80,F2020,Reject,314.0,80.085,12.0,104.0,
81,F2020,Reject,311.0,91.38999999999999,,96.0,
82,F2020,Reject,308.0,64.505,18.0,107.0,
83,F2020,Reject,305.0,86.5,46.0,,7.0
